,all_data,formattedLocation,country
4125,"Lahore Division, Punjab, Pakistan, Pakistan","Lahore Division, Punjab, Pakistan",Pakistan
4126,"Antrim, OH, United States","Antrim, OH",United States of America
4127,"Alton, IL, United States","Alton, IL",United States of America
4128,"Wejherowski, Pomorskie, Poland, Poland","Wejherowski, Pomorskie, Poland",Poland
4129,"BakÄ±rkÃ¶y, Istanbul, TÃ¼rkiye, TÃ¼rkiye","BakÄ±rkÃ¶y, Istanbul, TÃ¼rkiye",TÃ¼rkiye
4130,"Brooks, CA, United States","Brooks, CA",United States of America
4131,"Orwell, OH, United States","Orwell, OH",United States of America
4132,"North Pembroke, MA, United States","North Pembroke, MA",United States of America
4133,"Windham, ME, United States","Windham, ME",United States of America
4134,"Pleasantville, NJ, United States","Pleasantville, NJ",United States of America
4135,"Marlboro, NJ, United States","Marlboro, NJ",United States of America
4136,"Elmsford, NY, United States","Elmsford, NY",United States of America
4137,"Port Wentworth, GA, United States","Port Wentworth, GA",United States of America
4138,"Shelby, NC, United States","Shelby, NC",United States of America
4139,"SzÃ©kesfehÃ©rvÃ¡r, FejÃ©r, Hungary, Hungary","SzÃ©kesfehÃ©rvÃ¡r, FejÃ©r, Hungary",Hungary
4140,"Leek, England, United Kingdom, United Kingdom","Leek, England, United Kingdom",United Kingdom
4141,"Aubagne, Provence-Alpes-CÃ´te d'Azur, France, France","Aubagne, Provence-Alpes-CÃ´te d'Azur, France",France
4142,"Albacete, Castile-La Mancha, Spain, Spain","Albacete, Castile-La Mancha, Spain",Spain
4143,"Cheddar, England, United Kingdom, United Kingdom","Cheddar, England, United Kingdom",United Kingdom
4144,"Penicuik, Scotland, United Kingdom, United Kingdom","Penicuik, Scotland, United Kingdom",United Kingdom
4145,"Hardwick, England, United Kingdom, United Kingdom","Hardwick, England, United Kingdom",United Kingdom
4146,"Pabianice, ÅÃ³dzkie, Poland, Poland","Pabianice, ÅÃ³dzkie, Poland",Poland
4147,"Downtown New Orleans, LA, United States","Downtown New Orleans, LA",United States of America
4148,"Winter Haven, Florida, United States, United States","Winter Haven, Florida, United States",United States of America
4149,"Risch-Rotkreuz, Zug, Switzerland, Switzerland","Risch-Rotkreuz, Zug, Switzerland",Switzerland
4150,"Pharr, TX, United States","Pharr, TX",United States of America
4151,"Northcote, Victoria, Australia, Australia","Northcote, Victoria, Australia",Australia
4152,"Shirebrook, England, United Kingdom, United Kingdom","Shirebrook, England, United Kingdom",United Kingdom
4153,"Chermside, Queensland, Australia, Australia","Chermside, Queensland, Australia",Australia
4154,"Anacortes, WA, United States","Anacortes, WA",United States of America
4155,"Atlantic Beach, FL, United States","Atlantic Beach, FL",United States of America
4156,"Roslyn Heights, NY, United States","Roslyn Heights, NY",United States of America
4157,"Argyle, TX, United States","Argyle, TX",United States of America
4158,"Hardin, IL, United States","Hardin, IL",United States of America
4159,"Parlin, NJ, United States","Parlin, NJ",United States of America
4160,"West Hempstead, NY, United States","West Hempstead, NY",United States of America
4161,"Island Park, NY, United States","Island Park, NY",United States of America
4162,"Neptune Beach, FL, United States","Neptune Beach, FL",United States of America
4163,"Bergamo, Lombardy, Italy, Italy","Bergamo, Lombardy, Italy",Italy
4164,"New Brighton, MN, United States","New Brighton, MN",United States of America
4165,"Dublin 16, County Dublin, Ireland, Ireland","Dublin 16, County Dublin, Ireland",Ireland
4166,"St Marys, ON, Canada","St Marys, ON",Canada
4167,"New Bedford, IL, United States","New Bedford, IL",United States of America
4168,"Davidson, TN, United States","Davidson, TN",United States of America
4169,"Mountain Home, TX, United States","Mountain Home, TX",United States of America
4170,"Waterville, ME, United States","Waterville, ME",United States of America
4171,"Kecamatan Pamulang, Banten, Indonesia, Indonesia","Kecamatan Pamulang, Banten, Indonesia",Indonesia
4172,"Quáº­n 3, Ho Chi Minh City, Vietnam, Vietnam","Quáº­n 3, Ho Chi Minh City, Vietnam",Vietnam
4173,"Marcon, Veneto, Italy, Italy","Marcon, Veneto, Italy",Italy
4174,"Cave City, AR, United States","Cave City, AR",United States of America
4175,"Lignum, VA, United States","Lignum, VA",United States of America
4176,"Ivy, VA, United States","Ivy, VA",United States of America
4177,"Bozman, MD, United States","Bozman, MD",United States of America
4178,"Greater Bolzano Metropolitan Area, Italy",Greater Bolzano Metropolitan Area,Italy
4179,"Wieliczka, MaÅopolskie, Poland, Poland","Wieliczka, MaÅopolskie, Poland",Poland
4180,"Saint-Herblain, Pays de la Loire, France, France","Saint-Herblain, Pays de la Loire, France",France
4181,"Brownsburg, IN, United States","Brownsburg, IN",United States of America
4182,"GÃ¶ppingen, Baden-WÃ¼rttemberg, Germany, Germany","GÃ¶ppingen, Baden-WÃ¼rttemberg, Germany",Germany
4183,"Puerto Maldonado, Madre de Dios, Peru, Peru","Puerto Maldonado, Madre de Dios, Peru",Peru
4184,"Nanticoke, PA, United States","Nanticoke, PA",United States of America
4185,"Cusco, Cusco, Peru, Peru","Cusco, Cusco, Peru",Peru
4186,"Stade, Lower Saxony, Germany, Germany","Stade, Lower Saxony, Germany",Germany
4187,"Vergennes, VT, United States","Vergennes, VT",United States of America
4188,"Carol City, FL, United States","Carol City, FL",United States of America
4189,"Somerville, Massachusetts, United States, United States","Somerville, Massachusetts, United States",United States of America
4190,"Valparaiso, NE, United States","Valparaiso, NE",United States of America
4191,"Accord, NY, United States","Accord, NY",United States of America
4192,"Taxco, Guerrero, Mexico, Mexico","Taxco, Guerrero, Mexico",Mexico
4193,"Eastvale, CA, United States","Eastvale, CA",United States of America
4194,"Mesquite, Texas, United States, United States","Mesquite, Texas, United States",United States of America
4195,"Idaho County, ID, United States","Idaho County, ID",United States of America
4196,"Larchmont, NY, United States","Larchmont, NY",United States of America
4197,"Ipokia, Ogun State, Nigeria, Nigeria","Ipokia, Ogun State, Nigeria",Nigeria
4198,"Baguio City, Cordillera Admin Region, Philippines, Philippines","Baguio City, Cordillera Admin Region, Philippines",Philippines
4199,"Guasticce, Tuscany, Italy, Italy","Guasticce, Tuscany, Italy",Italy
4200,"Azuara, Aragon, Spain, Spain","Azuara, Aragon, Spain",Spain
4201,"Busan Metropolitan Area, South Korea",Busan Metropolitan Area,South Korea
4202,"Port St Lucie, FL, United States","Port St Lucie, FL",United States of America
4203,"Ontario, OK, United States","Ontario, OK",United States of America
4204,"Arrochar, Scotland, United Kingdom, United Kingdom","Arrochar, Scotland, United Kingdom",United Kingdom
4205,"Ellon, Scotland, United Kingdom, United Kingdom","Ellon, Scotland, United Kingdom",United Kingdom
4206,"Walting, Bavaria, Germany, Germany","Walting, Bavaria, Germany",Germany
4207,"Sevenum, Limburg, Netherlands, Netherlands","Sevenum, Limburg, Netherlands",Netherlands
4208,"Huntingwood, New South Wales, Australia, Australia","Huntingwood, New South Wales, Australia",Australia
4209,"Eskilstuna, SÃ¶dermanland County, Sweden, Sweden","Eskilstuna, SÃ¶dermanland County, Sweden",Sweden
4210,"DasmariÃ±as, Calabarzon, Philippines, Philippines","DasmariÃ±as, Calabarzon, Philippines",Philippines
4211,"Walloon Region, Belgium, Belgium","Walloon Region, Belgium",Belgium
4212,"Lackland Heights, Texas, United States, United States","Lackland Heights, Texas, United States",United States of America
4213,"Shelby County, TN, United States","Shelby County, TN",United States of America
4214,"Kern, CA, United States","Kern, CA",United States of America
4215,"Prievidza, Trenciansky, Slovakia, Slovakia","Prievidza, Trenciansky, Slovakia",Slovakia
4216,"Hennepin County, MN, United States","Hennepin County, MN",United States of America
4217,"HumennÃ©, Presov, Slovakia, Slovakia","HumennÃ©, Presov, Slovakia",Slovakia
4218,"Valjevo, Centralna Srbija, Serbia, Serbia","Valjevo, Centralna Srbija, Serbia",Serbia
4219,"Vranje, Centralna Srbija, Serbia, Serbia","Vranje, Centralna Srbija, Serbia",Serbia
4220,"SpiÅ¡skÃ¡ NovÃ¡ Ves, Kosice, Slovakia, Slovakia","SpiÅ¡skÃ¡ NovÃ¡ Ves, Kosice, Slovakia",Slovakia
4221,"KruÅ¡evac, Serbia, Serbia","KruÅ¡evac, Serbia",Serbia
4222,"TauragÄ, Lithuania, Lithuania","TauragÄ, Lithuania",Lithuania
4223,"Å eÅ¡kinÄ, Vilniaus, Lithuania, Lithuania","Å eÅ¡kinÄ, Vilniaus, Lithuania",Lithuania
4224,"Talsi, Latvia, Latvia","Talsi, Latvia",Latvia
4225,"Utena, Lithuania, Lithuania","Utena, Lithuania",Lithuania
4226,"Kuldiga, Latvia, Latvia","Kuldiga, Latvia",Latvia
4227,"Bardejov, Presov, Slovakia, Slovakia","Bardejov, Presov, Slovakia",Slovakia
4228,"Saldus, Latvia, Latvia","Saldus, Latvia",Latvia
4229,"Cesis, Latvia, Latvia","Cesis, Latvia",Latvia
4230,"Kings, Subdivision B, Nova Scotia, Canada, Canada","Kings, Subdivision B, Nova Scotia, Canada",Canada
4231,"Saint-Priest, Auvergne-RhÃ´ne-Alpes, France, France","Saint-Priest, Auvergne-RhÃ´ne-Alpes, France",France
4232,"Hartford, VT, United States","Hartford, VT",United States of America
4233,"Wake County, NC, United States","Wake County, NC",United States of America
4234,"Machaze, Manica Province, Mozambique, Mozambique","Machaze, Manica Province, Mozambique",Mozambique
4235,"Cape Coral Metropolitan Area, United States",Cape Coral Metropolitan Area,United States of America
4236,"Burley, ID, United States","Burley, ID",United States of America
4237,"Other Side Of The Moon, Australia, Australia","Other Side Of The Moon, Australia",Australia
4238,"Columbia, WA, United States","Columbia, WA",United States of America
4239,"SnÄÅ¾nÃ©, VysoÄina, Czechia, Czechia","SnÄÅ¾nÃ©, VysoÄina, Czechia",Czechia
4240,"Niagara-on-the-Lake, ON, Canada","Niagara-on-the-Lake, ON",Canada
4241,"BraÈov, BraÈov, Romania, Romania","BraÈov, BraÈov, Romania",Romania
4242,"Daleville, VA, United States","Daleville, VA",United States of America
4243,"Badin, NC, United States","Badin, NC",United States of America
4244,"Tubarao, MaranhÃ£o, Brazil, Brazil","Tubarao, MaranhÃ£o, Brazil",Brazil
4245,"BÃ©cancour, QC, Canada","BÃ©cancour, QC",Canada
4246,"Rockdale, TX, United States","Rockdale, TX",United States of America
4247,"Mount Vernon, KY, United States","Mount Vernon, KY",United States of America
4248,"Nashville Metropolitan Area, United States",Nashville Metropolitan Area,United States of America
4249,"Union County, NJ, United States","Union County, NJ",United States of America
4250,"Stenungsund, VÃ¤stra GÃ¶taland County, Sweden, Sweden","Stenungsund, VÃ¤stra GÃ¶taland County, Sweden",Sweden
4251,"Otsego, MN, United States","Otsego, MN",United States of America
4252,"West Falls Church, VA, United States","West Falls Church, VA",United States of America
4253,"Amityville, NY, United States","Amityville, NY",United States of America
4254,"Morris, MN, United States","Morris, MN",United States of America
4255,"Ãgueda, Aveiro, Portugal, Portugal","Ãgueda, Aveiro, Portugal",Portugal
4256,"Molins de Rei, Catalonia, Spain, Spain","Molins de Rei, Catalonia, Spain",Spain
4257,"Guarulhos, SÃ£o Paulo, Brazil, Brazil","Guarulhos, SÃ£o Paulo, Brazil",Brazil
4258,"Roskilde Municipality, Region Zealand, Denmark, Denmark","Roskilde Municipality, Region Zealand, Denmark",Denmark
4259,"Shenyang Metropolitan Area, China",Shenyang Metropolitan Area,China
4260,"HillerÃ¸d Municipality, Capital Region of Denmark, Denmark","HillerÃ¸d Municipality, Capital Region of Denmark",Denmark
4261,"New Hartford, CT, United States","New Hartford, CT",United States of America
4262,"Sanchong District, New Taipei City, Taiwan, Taiwan","Sanchong District, New Taipei City, Taiwan",Taiwan
4263,"Piracicaba, SÃ£o Paulo, Brazil, Brazil","Piracicaba, SÃ£o Paulo, Brazil",Brazil
4264,"Motherwell, Scotland, United Kingdom, United Kingdom","Motherwell, Scotland, United Kingdom",United Kingdom
4265,"Vic, Catalonia, Spain, Spain","Vic, Catalonia, Spain",Spain
4266,"Portland Port, England, United Kingdom, United Kingdom","Portland Port, England, United Kingdom",United Kingdom
4267,"Bannockburn, IL, United States","Bannockburn, IL",United States of America
4268,"Davidson County, NC, United States","Davidson County, NC",United States of America
4269,"White Oak, TX, United States","White Oak, TX",United States of America
4270,"Tha To, Phra Nakhon Si Ayutthaya, Thailand, Thailand","Tha To, Phra Nakhon Si Ayutthaya, Thailand",Thailand
4271,"South Floral Park, NY, United States","South Floral Park, NY",United States of America
4272,"Achim, Lower Saxony, Germany, Germany","Achim, Lower Saxony, Germany",Germany
4273,"Arrington, TN, United States","Arrington, TN",United States of America
4274,"ZÃ¼rich Metropolitan Area, Switzerland",ZÃ¼rich Metropolitan Area,Switzerland
4275,"National Harbor, MD, United States","National Harbor, MD",United States of America
4276,"Gentofte, Capital Region of Denmark, Denmark","Gentofte, Capital Region of Denmark",Denmark
4277,"Pendleton, SC, United States","Pendleton, SC",United States of America
4278,"Sierre, Valais, Switzerland, Switzerland","Sierre, Valais, Switzerland",Switzerland
4279,"St Petersburg City, Russia, Russia","St Petersburg City, Russia",Russia
4280,"Toa Baja, Puerto Rico, Puerto Rico","Toa Baja, Puerto Rico",Puerto Rico
4281,"CuautitlÃ¡n, MÃ©xico, Mexico, Mexico","CuautitlÃ¡n, MÃ©xico, Mexico",Mexico
4282,"Biberach, Baden-WÃ¼rttemberg, Germany, Germany","Biberach, Baden-WÃ¼rttemberg, Germany",Germany
4283,"Hillside, NJ, United States","Hillside, NJ",United States of America
4284,"Kamianets-Podilskyi, Khmelnytsky, Ukraine, Ukraine","Kamianets-Podilskyi, Khmelnytsky, Ukraine",Ukraine
4285,"Nikopol, Dnipropetrovsk, Ukraine, Ukraine","Nikopol, Dnipropetrovsk, Ukraine",Ukraine
4286,"Kearny, AZ, United States","Kearny, AZ",United States of America
4287,"Bucharest Metropolitan Area, Romania",Bucharest Metropolitan Area,Romania
4288,"RoÃ¨ Volciano, Lombardy, Italy, Italy","RoÃ¨ Volciano, Lombardy, Italy",Italy
4289,"Sandweiler, Luxembourg, Luxembourg, Luxembourg","Sandweiler, Luxembourg, Luxembourg",Luxembourg
4290,"Greater Saint-Nazaire Area, France",Greater Saint-Nazaire Area,France
4291,"East Baton Rouge Parish County, LA, United States","East Baton Rouge Parish County, LA",United States of America
4292,"Perris, CA, United States","Perris, CA",United States of America
4293,"Claycomo, MO, United States","Claycomo, MO",United States of America
4294,"Ignacio Allende, MÃ©xico, Mexico, Mexico","Ignacio Allende, MÃ©xico, Mexico",Mexico
4295,"De Meern, Utrecht, Netherlands, Netherlands","De Meern, Utrecht, Netherlands",Netherlands
4296,"San NicolÃ¡s Hidalgo, Nuevo LeÃ³n, Mexico, Mexico","San NicolÃ¡s Hidalgo, Nuevo LeÃ³n, Mexico",Mexico
4297,"Oxnard, California, United States, United States","Oxnard, California, United States",United States of America
4298,"Fairmont, MN, United States","Fairmont, MN",United States of America
4299,"LâAquila, Abruzzi, Italy, Italy","LâAquila, Abruzzi, Italy",Italy
4300,"Hudson County, NJ, United States","Hudson County, NJ",United States of America
4301,"Waco Area, United States",Waco Area,United States of America
4302,"Oakland, MI, United States","Oakland, MI",United States of America
4303,"JÃ¼lich, North Rhine-Westphalia, Germany, Germany","JÃ¼lich, North Rhine-Westphalia, Germany",Germany
4304,"Lake County, CA, United States","Lake County, CA",United States of America
4305,"North Fayette, PA, United States","North Fayette, PA",United States of America
4306,"Medford, Oregon, United States, United States","Medford, Oregon, United States",United States of America
4307,"Benton, WI, United States","Benton, WI",United States of America
4308,"Orange County, FL, United States","Orange County, FL",United States of America
4309,"Bedford, TN, United States","Bedford, TN",United States of America
4310,"Houston, AL, United States","Houston, AL",United States of America
